"Surface","Web behavior","iOS behavior","Score","Concrete fix","Files"
"Shared data files (Tier-1 byte-sync)","27 files under lib/, lib/content/ and lib/data/ are the byte-identical source of truth for both apps. scripts/test-data-sync.mjs in the native repo is the release gate that proves it.","6 of 27 have drifted, and the gate CANNOT SEE IT: WEB_ROOT defaults to /Users/bigswingsonly/verza-tv, which does not exist on this machine, so every Tier-1 comparison prints 'SKIP (web repo absent)' and passes. Verified by running the comparison by hand - catalog.ts (Hot tab + 4 titles whose categories are ['new'] instead of ['drama','new']), i18n.ts (691 lines: the whole paywall/checkout/audio-language block), search-index.ts (62 lines: the folded haystack), theme.ts (dark-only hex - deliberate), mux-public-map.ts (fingerprint header only, contents identical), data/sitemap.ts (native still ships the dead https://www.youtube.com/@VerzaTV link web removed on 2026-09-07 because it 404s).","MAJOR GAP","test-data-sync.mjs:13 - change the WEB_ROOT default to the real path ('/Users/jothamhall/E! CREATOR ECONOMY/verza-tv') and turn the else-branch at :107-109 from a console.log SKIP into a pushed failure, so an absent web repo fails the gate instead of passing it. Then re-sync src/lib/catalog.ts, src/lib/i18n.ts, src/lib/search-index.ts and src/lib/data/sitemap.ts from the web originals, restamp the src/lib/mux-public-map.ts fingerprint header to f0ae1ac2493758c8d0c552b6b8e9e096b65f6d5b7bd6dedbd382103e5cc796ef, and update the pinned sha256 for src/lib/catalog.ts in releaseHashes at :74. theme.ts stays as-is (dark-only is intentional).","verza-native/scripts/test-data-sync.mjs:13,74,100-109 | verza-native/src/lib/catalog.ts | verza-native/src/lib/i18n.ts | verza-native/src/lib/search-index.ts | verza-native/src/lib/data/sitemap.ts:224 | verza-native/src/lib/mux-public-map.ts:3"
"Account backend / cross-platform data continuity","verza-tv/.env.local points EXPO/NEXT Supabase at project mmvbmrrwgludfmfalfcm.supabase.co - the project the 2026-07-08 migration moved to. profiles, entitlements, purchases, watch_progress and saved_list all live there.","verza-native/.env points EXPO_PUBLIC_SUPABASE_URL at jejispfvlkwastzvwtwu.supabase.co - the RETIRED pre-migration project. EXPO_PUBLIC_* values are inlined at build time and eas.json declares no env block, so this is very likely what the shipped binary talks to. The two apps therefore read and write DIFFERENT databases: a series unlocked on the web is not owned in the app, saved lists and watch progress do not cross over, and the same email is two separate accounts. Compounding it, the web repo's own configured host currently returns NXDOMAIN from this machine while the native repo's retired host resolves.","BLOCKED","Cannot be resolved from the code - it needs the owner to state which Supabase project is canonical and to supply that project ref + anon key. Once known: set EXPO_PUBLIC_SUPABASE_URL / EXPO_PUBLIC_SUPABASE_ANON_KEY in verza-native/.env (and as EAS environment variables so a cloud build cannot silently fall back), confirm every table in src/lib/supabase/schema.ts exists there with RLS, then verify with `npm run test:auth-lifecycle` and a sign-in on both surfaces with the same email. Until then, treat every account-scoped parity claim (entitlements, saved list, watch progress, VIP) as unverified.","verza-native/.env | verza-native/src/lib/env.ts:5-11 | verza-native/eas.json | verza-tv/.env.local"
"Anime tab","9th browse tab, always rendered, showing a branded Coming Soon panel (neutral slate ground, clock glyph, '{tab} is coming soon' + a two-line body, and a gradient 'Browse Drama' escape button). It auto-hides the moment live rows carrying categories:['anime'] are added.","The tab is removed from the bar entirely. getSeriesByCategory('anime') returns [] and the iOS branch of activeTabs drops any tab whose tabData length is 0.","NOT APPLICABLE","Deliberate: the iOS reader policy removes empty categories rather than shipping a placeholder that promises unreleased content (src/lib/ios-reader-catalog.ts, BrowsePage.tsx:203-212; docs/ARCHITECTURE.md:86 - iOS routes 'never render production/coming-soon promises'). No change. When Anime gets live rows the tab reappears on iOS automatically. The generic empty-state card at BrowsePage.tsx:571-608 stays as the defensive fallback.","verza-native/src/components/BrowsePage.tsx:203-212,571-608 | verza-native/src/lib/ios-reader-catalog.ts | verza-native/docs/ARCHITECTURE.md:86 | verza-tv/components/BrowsePage.tsx:836-880"
"Tubi placement","2nd tab in the rail, rendered as the Tubi logo rather than a text label. The tab body is a full sponsored partner spotlight: primary CTA, a 6-slide cinematic carousel, a value statement, a large wordmark and a 'Verza sponsored partner' trust line, click-through to tubitv.com in a new tab (a true in-site embed is blocked by Tubi's X-Frame-Options: SAMEORIGIN).","Not present. Tubi is absent from ALL_DISCOVER_TABS on every platform, and no TubiHeroCarousel or Tubi asset exists in the native repo.","NOT APPLICABLE","Deliberate: an outbound sponsored partner spotlight is a web-only commercial surface and is not part of either native product (BrowsePage.tsx:56-59). The native data-sync gate already asserts this by requiring the native tab list to be the canonical list minus exactly 'tubi' (test-data-sync.mjs:170-176). No change.","verza-native/src/components/BrowsePage.tsx:56-73 | verza-native/scripts/test-data-sync.mjs:170-176 | verza-tv/components/BrowsePage.tsx:791-880 | verza-tv/components/TubiHeroCarousel.tsx"
"Shop / merch / cart","A merch grid (inert 'Coming soon' cards while MERCH_CHECKOUT_ENABLED is false, Links to /shop/[slug] when true), a cart button and drawer that POST /api/checkout to Stripe, and an Amazon affiliate section with 'Sponsored - Ad', 'Not personalized' and an Associates disclosure. CartDrawer and AmazonBag are mounted globally.","The Shop tab renders header + a single support card: 'Merchandise support', an 'Email merchandise support' button to support@verzatv.com, and 'New orders are not placed in this app.' No grid, no prices, no cart, no Amazon. /shop/[slug] Redirects to /shop on every platform; /amazon Redirects to /shop on iOS; CartDrawer and AmazonBag are not mounted on iOS.","NOT APPLICABLE","Deliberate and verified complete - no Stripe or merch purchase path is reachable on iOS (Apple 3.1.1). Two optional hygiene items, neither a parity gap: src/components/CartButton.tsx, src/components/AddToCartButton.tsx and src/lib/products.ts have no importers anywhere, and CartProvider is still mounted on iOS with no consumer; AmazonBag.tsx and AmazonProducts.tsx are compiled into the iOS binary though never mounted, so consider a build-time strip if App Review does binary string inspection.","verza-native/src/app/(tabs)/shop.tsx:53-95 | verza-native/src/app/shop/[slug].tsx:8-10 | verza-native/src/app/amazon.tsx:29 | verza-native/src/app/_layout.tsx:40,49,53 | verza-tv/app/shop/page.tsx:19-201"
"Creator section","A nine-section CreatorsLanding conversion page on the Creators tab, plus /creator and /studio dashboards, /channels, /c/[slug] clip pages and /watch/[...slug] creator PPV with a Stripe unlock.","Every creator surface is removed on iOS, and double-gated: the Creators tab is filtered out of the tab list AND its render is guarded; /creator, /studio, /channels and /watch/[...slug] each Redirect to /discover at the top of the route; the profile 'Apply to Become a Creator' row is wrapped in HideOnIOS; and CreatorWatch has a redundant inner gate that shows a neutral 'Exclusive' state with no price and no CTA.","NOT APPLICABLE","Deliberate: creator recruitment and UGC/PPV are excluded under Apple 1.2/1.2.1 and 3.1.1, and the gating is defense-in-depth (route redirect plus component guard). No change. Note for the record: /c/[slug] stays reachable on iOS but only for reader-visible series - it is a series clip landing, not a creator surface, and it gates on isIosReaderSeriesVisible.","verza-native/src/components/BrowsePage.tsx:75,569 | verza-native/src/app/creator.tsx:12 | verza-native/src/app/studio.tsx:20 | verza-native/src/app/channels.tsx:103 | verza-native/src/app/watch/[...slug].tsx:64 | verza-native/src/app/c/[slug].tsx:75,157 | verza-native/src/app/(tabs)/me.tsx:326-392 | verza-tv/components/CreatorsLanding.tsx"
"Checkout / payment","Stripe throughout: $1.99 series unlock via /api/unlock, VIP $9.99/mo and $79.99/yr via /api/subscribe, a billing portal, merch via /api/checkout and creator PPV via /api/creator-unlock. Web self-suppresses all of it inside an iOS WebView via HideInIOSApp / isIOSApp().","StoreKit 2 through a custom expo module: one permanent non-consumable per series, price ALWAYS from StoreKit displayPrice (never a hardcoded $1.99), a server preflight before purchase, server-side signed-JWS verification before finishTransactionAsync, appAccountToken bound to the Supabase UUID, an interrupted-transaction observer, and Restore Purchases in two places (every unlock control plus Profile). VIP never renders its subscribe state on iOS; checkout-return Redirects away on non-Android. No Stripe or browser-checkout path is reachable.","NOT APPLICABLE","Deliberate and correctly implemented - Stripe/web checkout, VIP subscriptions and coin packs are excluded under Apple 3.1.1 and the IAP replacement is complete. No change. Two binary-hygiene notes: CoinPaywall.tsx is dead code in BOTH repos (no importers), and COIN_PACKS plus VIP_MONTHLY_CENTS/VIP_YEARLY_CENTS in src/lib/config.ts ship purchase-adjacent strings into the iOS binary that nothing renders - worth stripping.","verza-native/src/components/AppleSeriesUnlock.tsx:65,111-118,246,267-279 | verza-native/src/lib/apple-iap.ts:107-353 | verza-native/src/components/VipCard.tsx:63,118,224 | verza-native/src/app/checkout-return.tsx:35,43 | verza-native/src/lib/config.ts:9,22-24 | verza-tv/app/api/unlock/route.ts:34-55 | verza-tv/lib/series-purchase.ts:9"
"Ad ribbons (StorageBlue)","The StorageBlue sponsor ribbon renders on the Drama tab and again on the Reality tab, as an outbound link to storageblue.com. It is the original sponsor placement and is not to be moved.","StorageBlueAdRibbon is fully ported (with 'Sponsored - Ad', 'Not personalized' and an adjacent Report-an-Ad control for Apple 2.5.18) but both mount points are gated `Platform.OS !== 'ios'`, so no ad ribbon renders on iOS.","NOT APPLICABLE","Deliberate exclusion for the App Store build. No change. The component and its Report-an-Ad control remain wired for Android, so the placement is not lost.","verza-native/src/components/BrowsePage.tsx:135-181,866-871 | verza-native/src/components/ReportAdLink.tsx | verza-tv/components/BrowsePage.tsx:1200-1217"
"Theme","Light and dark. lib/theme.ts exports CSS custom properties (var(--t-bg) etc.) so 1,710 references across 76 files re-theme from app/globals.css, keyed on data-theme. Profile carries a real dark/light switcher.","Dark only. src/lib/theme.ts exports the dark hex literals directly and app.json pins userInterfaceStyle: 'dark'. The Appearance row is a static 'Always On' chip rather than a control.","NOT APPLICABLE","Deliberate: the native app is dark-theme only by product decision (app.json:6). The 67-line theme.ts diff is therefore expected and must NOT be re-synced by the Tier-1 byte gate - exclude src/lib/theme.ts from the tierOnePairs list in test-data-sync.mjs rather than restoring var() tokens that mean nothing in React Native.","verza-native/src/lib/theme.ts | verza-native/app.json:6 | verza-native/src/components/ProfileDynamic.tsx:563-592 | verza-native/scripts/test-data-sync.mjs:87-97 | verza-tv/lib/theme.ts:1-31"
"Header (logo / language / search)","Sticky top bar at rgba(7,7,14,0.95) with a 16px backdrop blur and a 1px shadow: LangDropdown left, the VERZA TV logo centred as a link home, SearchButton right. Top safe-area padded for notch devices.","Same three elements in the same order, same ground colour, same shadow, logo at 225x60 contain, safe-area top from useSafeAreaInsets. Rendered per-screen rather than in the root layout so it stays pinned above each screen's own ScrollView. The blur is replaced by the solid rgba, which at 0.95 alpha is imperceptible.","MATCHED","None.","verza-native/src/components/Header.tsx | verza-tv/components/Header.tsx"
"Red Carpet tab","A centred 'The Carpet' heading over a 2-up poster grid of Exes Premiere and Love Awards, each tile tapping into the series. Red-carpet titles are tab-exclusive and filtered out of the Drama grid.","Identical: 'The Carpet' heading, 2-up grid at rcCellW, tiles link to /series/<slug>/1 with a warmStream+warmPlayer prewarm on press, and the caption prints the category label 'Red Carpet' rather than the full genre - exactly as web does. Red-carpet titles are excluded from the native Drama grid.","MATCHED","None.","verza-native/src/components/BrowsePage.tsx:743-777 | verza-tv/components/BrowsePage.tsx:1035-1066"
"Poster tap to first frame","Clicking a poster creates a hidden muted <video>, attaches the HLS stream and starts decoding while the route navigation is still in flight; EpisodeFeed adopts that element so the first frame the viewer sees is the movie. The tapped poster is seeded into sessionStorage as the transition image, and paid episodes are deliberately skipped so no protected id is requested.","Same architecture, adapted: warmPlayer() creates one real pre-warmed AVPlayer on onPressIn that EpisodeFeed's first slide adopts, with single-shot ownership transfer and a TTL so the <=3-attached-player invariant holds; warmStream() additionally warms the manifest only (never segments, which would double-download on iOS). Free episodes only, same as web.","MATCHED","None. Native's version is arguably stronger - it enforces the documented player-pool invariant that web has no equivalent of.","verza-native/src/lib/warm-player.ts | verza-native/src/lib/prefetch.ts | verza-native/src/components/BrowsePage.tsx:794,887 | verza-tv/lib/instant-player.ts | verza-tv/components/BrowsePage.tsx:314-352"
"Share sheet","A bottom sheet from the player's More control: 'Share this episode', '{series} - EP n', and a 4-up icon grid (Messages, WhatsApp, X, Copy link) built from the same shareText and shareUrl.","Same sheet, same title and subtitle, same 4-up grid with the identical SVG path data and tint colours, animated in with Animated opacity + scale and padded for the bottom inset. Copy link uses a native fallback because expo-clipboard is not installed.","MATCHED","None.","verza-native/src/components/EpisodeFeed.tsx:1907,2615-2726 | verza-tv/components/EpisodeFeed.tsx:3564-3575,3925-3990"
"Free-preview policy","FREE_EPISODES = 5 for every series, and the feed carries no silent cap - the old Math.min(...,4) was removed because it paywalled episode 5 while the badge advertised 'First 5 Episodes FREE'. The series page badge, the episode dropdown and the feed all read the same catalog freeEpisodes.","Identical - src/lib/config.ts is byte-identical to lib/config.ts (verified), and the episode route builds feedEpisodes from series.freeEpisodes with no cap. The free/locked split, the padlock in EpisodeDropdown and the paywall trigger on the first non-free episode all match.","MATCHED","None.","verza-native/src/lib/config.ts | verza-native/src/app/series/[slug]/[episode].tsx | verza-tv/lib/config.ts | verza-tv/app/series/[slug]/[episode]/page.tsx"
"404 / not-found","app/not-found.tsx: '404' in accent, 'Page not found', 'The page you're looking for doesn't exist or has been moved.', and a gradient button home.","src/app/+not-found.tsx reproduces it line for line, including the same copy and the same Header/Footer chrome applied per-screen. The series detail route renders the same treatment inline for an unknown slug.","MATCHED","None.","verza-native/src/app/+not-found.tsx | verza-native/src/app/series/[slug]/index.tsx:176-200 | verza-tv/app/not-found.tsx"
